,prompt,classes,answer_idx,prompt_in_front,binarized,body,Q_id,source_dataset
153,"I felt I was close to panic. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q28,dass
154,"I found it hard to calm down after something upset me. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q29,dass
155,"I feared that I would be &quot;thrown&quot; by some trivial but unfamiliar task. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q30,dass
156,"I was unable to become enthusiastic about anything. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q31,dass
157,"I found it difficult to tolerate interruptions to what I was doing. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q32,dass
158,"I was in a state of nervous tension. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q33,dass
159,"I felt I was pretty worthless. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q34,dass
160,"I was intolerant of anything that kept me from getting on with what I was doing. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q35,dass
161,"I felt terrified. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q36,dass
162,"I could see nothing in the future to be hopeful about. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q37,dass
163,"I felt that life was meaningless. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q38,dass
164,"I found myself getting agitated. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q39,dass
165,"I was worried about situations in which I might panic and make a fool of myself. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q40,dass
166,"I experienced trembling (eg, in the hands). In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,1,Q41,dass
167,"I found it difficult to work up the initiative to do things. In the past week, how much has the previous statement applied to you? A: Less than half the days. B: More than half the days.","['A', 'B']",0,0,1,0,Q42,dass
